date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:49	768/768	---MCZ	200	added ('OK')	text/plain	date:Thu,%2012%20Feb%202026%2015:23:50%20GMT	https://client.optinvests.com/robots.txt		(from )
15:23:49	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2012%20Feb%202026%2015:23:50%20GMT	https://client.optinvests.com/	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/index.html	(from )
15:23:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Feb%202026%2015:23:51%20GMT	http://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/en-US/Account/Login.0650d.delayed	(from https://client.optinvests.com/)
15:23:50	3445/3445	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Feb%202026%2015:23:51%20GMT	https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/en-US/Account/Login650d.html	(from https://client.optinvests.com/)
15:23:51	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F)
15:23:51	37045/37045	---MCZ	200	added ('OK')	application/javascript	etag:W/%2290b5-QwpEPXSDD+m+Ju/KQx9EjBs3QPk%22	https://cdn.jsdelivr.net/npm/bootstrap@3.3.7/dist/js/bootstrap.min.js	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/cdn.jsdelivr.net/npm/bootstrap@3.3.7/dist/js/bootstrap.min.js	(from https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F)
15:23:51	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%221d970-ZSfYvz4ek2i6uMe2D1a8Afo6/Wg%22	https://cdn.jsdelivr.net/npm/bootstrap@3.3.7/dist/css/bootstrap.min.css	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/cdn.jsdelivr.net/npm/bootstrap@3.3.7/dist/css/bootstrap.min.css	(from https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F)
15:23:51	70815/70815	---MCZ	200	added ('OK')	text/css	etag:W/%221d676214f47021f%22	https://client.optinvests.com/themes/Matrix/loginform/fonts/material-design-iconic-font/css/material-design-iconic-font.min.css	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/themes/Matrix/loginform/fonts/material-design-iconic-font/css/material-design-iconic-font.min.css	(from https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F)
15:23:52	5274/5274	---MCZ	200	added ('OK')	text/css	etag:W/%221d676214f46021a%22	https://client.optinvests.com/themes/Matrix/loginform/css/style.css	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/themes/Matrix/loginform/css/style.css	(from https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F)
15:23:52	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2012%20Feb%202026%2015:23:53%20GMT	https://client.optinvests.com/favicon.ico	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/favicon.ico	(from https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F)
15:23:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2012%20Feb%202026%2015:23:53%20GMT	http://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2Ffavicon.ico	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/en-US/Account/Login38a2	(from https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F)
15:23:52	3445/3445	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Feb%202026%2015:23:53%20GMT	https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2Ffavicon.ico	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/en-US/Account/Login38a2.html	(from https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F)
15:23:53	1066/1066	---M--	200	added ('OK')	image/png	etag:%221d676214f4612aa%22	https://client.optinvests.com/themes/Matrix/Distributiontest/img/gb.png	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/themes/Matrix/Distributiontest/img/gb.png	(from https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F)
15:23:53	3459/3459	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Feb%202026%2015:23:54%20GMT	https://client.optinvests.com/de-DE/Account/Login?ReturnUrl=%2F	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/de-DE/Account/Login650d.html	(from https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F)
15:23:54	146/146	---M--	200	added ('OK')	image/png	etag:%221d676214f461612%22	https://client.optinvests.com/themes/Matrix/Distributiontest/img/de.png	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/themes/Matrix/Distributiontest/img/de.png	(from https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F)
15:23:54	612303/612303	---M--	200	added ('OK')	image/png	etag:%221d747264f98e8cf%22	https://client.optinvests.com/themes/Matrix/loginform/images/bg1.png	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/themes/Matrix/loginform/images/bg1.png	(from https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F)
15:23:54	4069/4069	---M--	200	added ('OK')	image/png	etag:%221dc474b2f8a85e5%22	https://client.optinvests.com/optinvests-b.png	C:/Users/user/Desktop/luxi%20test%20copy/Luxi/client.optinvests.com/optinvests-b.png	(from https://client.optinvests.com/en-US/Account/Login?ReturnUrl=%2F)
